2024/11/24 12:27:22 [error] 9#9: *2 directory index of "/var/www/html/" is forbidden, client: 172.19.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost:8181"
2024/11/24 12:27:39 [error] 9#9: *4 directory index of "/var/www/html/" is forbidden, client: 172.19.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost:8181"
2024/11/24 12:35:44 [error] 9#9: *5 directory index of "/var/www/html/" is forbidden, client: 172.19.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost:8181"
2024/11/24 12:45:52 [error] 9#9: *1 directory index of "/var/www/html/" is forbidden, client: 172.19.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost:8080"
2024/11/24 12:45:52 [error] 9#9: *1 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/"
2024/12/10 14:09:20 [error] 9#9: *2 directory index of "/var/www/html/" is forbidden, client: 172.19.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost:8080"
2024/12/10 14:09:20 [error] 9#9: *2 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/"
2024/12/10 14:09:30 [error] 9#9: *2 open() "/var/www/html/login.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "GET /login.html HTTP/1.1", host: "localhost:8080"
2024/12/10 14:11:17 [error] 9#9: *3 open() "/var/www/html/profile.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "GET /profile.html HTTP/1.1", host: "localhost:8080"
2024/12/12 11:54:00 [error] 9#9: *2 open() "/var/www/html/Request.html" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /Request.html HTTP/1.1", host: "localhost:8080"
2024/12/12 11:54:00 [error] 9#9: *2 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/Request.html"
2024/12/12 11:54:08 [error] 9#9: *2 directory index of "/var/www/html/" is forbidden, client: 172.22.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost:8080"
2024/12/14 17:30:58 [error] 9#9: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/login.php"
2024/12/15 13:53:52 [error] 9#9: *2 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/foo.php"
2024/12/15 14:25:07 [error] 9#9: *24 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.22.0.1, server: localhost, request: "GET /foo.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8080"
2024/12/15 15:16:39 [error] 9#9: *50 upstream sent invalid header: "Location\x20..." while reading response header from upstream, client: 172.22.0.1, server: localhost, request: "GET /register.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8080"
2024/12/15 15:16:40 [error] 9#9: *50 upstream sent invalid header: "Location\x20..." while reading response header from upstream, client: 172.22.0.1, server: localhost, request: "GET /register.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8080"
2024/12/17 14:16:16 [error] 9#9: *1 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2024/12/17 14:33:10 [error] 9#9: *240 open() "/var/www/html/login.html" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /login.html HTTP/1.1", host: "localhost:8080"
2025/01/02 20:26:08 [error] 9#9: *1 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/02 20:26:08 [error] 9#9: *6 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/02 20:26:19 [error] 9#9: *6 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/02 20:26:25 [error] 9#9: *1 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
